Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,10103,194.6712,0:01:10,103382,6.49
YouTube search,4930,107.217,0:01:19,38494,10.6
Shorts feed,1133,5.1198,0:00:16,,
Browse features,1112,20.3363,0:01:05,18511,4.76
Suggested videos,1061,25.5127,0:01:26,28215,3.35
Channel pages,1059,20.8673,0:01:11,17094,4.44
Other YouTube features,269,4.9367,0:01:06,,
Direct or unknown,196,3.9393,0:01:12,,
External,130,2.8431,0:01:18,,
Notifications,94,1.3264,0:00:50,,
Playlists,64,1.9226,0:01:49,1068,3.75
End screens,29,0.388,0:00:48,,
Related Shorts,21,0.2441,0:00:41,,
Hashtag pages,4,0.0146,0:00:13,,
